Query_Id	Post_Title	Post_Body	QE_Entities	ST_Entities	ECO_Entities
12	Diet and exercise with Pancreatitis	"I'm 23 and I was just diagnosed after a bad attack with acute pancreatitis. Diagnosed as unknown causes. It occurred after a night of mild drinking and a day of work, exercise, and a protein shake. I exercise a bunch(probably 4 or 5 times a week) put on 25lbs in the six months leading up to the attack (also quit cigarettes this last year). I weigh 170lbs and I am 5' 10"" . Now I think my problem might have been me burning the candle at both ends so to speak.. I exercised a bunch, drank often and smoked marijuana regularly, I also work full time. My attack was very painful and I will never drink again. I want to smoke marijuana occasionally but also think i might have to quit that completely. My question is this. If I eat carefully (less than 30g of fat a day) eat fresh fish, veggies, fruits, soy....If I do that can I still work out 4 to 5 days a week in the hopes to gain a little more weight? No more supplements exempt the occasional vitamin. Would it be dangerous to gain maybe 10-20lbs a year? I just want to weigh 180- 190lb lean or...it's a personal goal...If I cannot I can live with that...I better get used to doing things on my pancreas' terms right?"	['Nakajo syndrome', 'Burning sensation', 'Alcohol consumption', 'Acute pancreatitis', 'Exercise', 'Full-time employment (finding)', 'Hope (emotion)', 'Tremor', 'Staphylococcal Protein A']	['Pancreatitis', 'Exercise', 'Death (finding)']	['Pancreatitis, Chronic', 'Steatorrhea', 'Abdominal Pain', 'Blind Loop Syndrome', 'Epoprostenol', 'Pruritus', 'Prazosin', 'Acute pancreatitis', 'Seizures', 'Pancreatitis', 'Burning sensation']
13	chances of diabetes after a severe attack of acute pacreatitis	Hey guys, I am 16, I'm from England. And this time last month, i had a really severe attack of acute pancreatitis due to gallstones, and was in intensive care and everything - it nearly took my life. But I'm alive and wellish now, and i've had a laproscopic cholecystomy so it shouldn't happen again (touch wood!)My surgeon told me i am at a high risk of getting type 1 diabetes in the future, so i was wondering if anybody knew my statistical chances are of getting it and if there is anyone in a similar position to me, I would love to talk to you and exchange stories.	['Gallstone pancreatitis', 'Diabetes Mellitus, Insulin-Dependent']	['Pancreatitis', 'Diabetes', 'Quasense']	['Pancreatitis, Chronic', 'Acute pancreatitis', 'Pancreatitis']
14	Acute Pancreatitis (Page 1)	I was diagnosed with acute pancreatitis when I just turned 21. I am 23 now. I see that normal symptoms include upper abdominal pain. My pain almost always occurs on my right side, like a big stich ,than radiates to my back. It does go away, but returns if I drink. I try to stay away from drinking as much as possible, but cant help it sometimes i.E. When im with my friends. I've never experienced vomiting, fever, or have had to been hospitalized. I did go under many tests, and my levels were pretty high. I see that people say they have episodes. My question is what constitues an episode? Like I said I feel the pain everytime I drink, but goes away in a couple of days. I really dont think I can go through life without drinking every now and than. The doctors told me not to drink at all, but have read online that its ok to consume 1 to 2 drinks. My other question is does marijuana have a known affect? I know that smoking cigarettes do, but does that include marijuana? Well, heres to everybody whos had to go through this damn disease, life aint over yall :wink:	['Alcohol consumption', 'Acute pancreatitis', 'Upper abdominal pain', 'Cigarette smoker (finding)', 'Fever', 'Thinking, function', 'Vomiting', 'Affect (mental function)', 'Pain']	['Acute pancreatitis', 'Pancreatitis', 'Traumatic AND/OR non-traumatic injury']	['Pancreatitis, Chronic', 'Abdominal Pain', 'Sulfisoxazole', 'Azacitidine', 'Vomiting', 'Upper abdominal pain', 'Acute pancreatitis', 'Seizures', 'Pancreatitis']
15	Acute Pancetitis, eight weeks later I still get very sick	Pancetitis. I was hit out of the blue on a Sunday morning with what was diagonoised as acute pancreatitis . It's been eight weeks I still get very sick when I eat something's nausea pain in back around belt line left side. Have had 2 ct scans with dye and pancreatic protocol last one showed mild irration but starting to worry losing weight and life is not going well ? How long does it take to recover should I have other test I am watching my diet low fat lots of fish and vegetables ., any suggestions welcome by the way I don't drink. gallbladder has polyp but no stones. don't know what caused this?	['Acute pancreatitis', 'Back Pain', 'polyps', 'X-Ray Computed Tomography', 'Nausea']	[]	['Acute pancreatitis', 'Pancreatitis, Chronic', 'Pancreatitis']
16	Low blood pressure after I eat meat	I`m 35 year old male. 180 cm high, 87 kg. Since 2015 i experienced low blood pressure after lunch if i eat meat. Meat like chicken, pork, beef, even fish. So i think it is somethink assosiated with protein syntesis. After meal with meat i feel very bad, i mean, my back side of the head is with pain like someone hitted me with wood. Espessially right side of the back side. After i changed my diet now i have no problem with the pressure. But i dont eat meat. No problems with diary foods. How to cure that problem with meat?	['Hypotension', 'Pain', 'Lunch']	[]	['Mechlorethamine', 'Coughing', 'Dizziness', 'Hypotension', 'Pain']
17	Low Blood Pressure And Weight Gain	I have been on blood pressure medicine for years. I've been on many diets and it's hard to loose weight no matter what I try. My sister had me use her watch that checks your pulse rate. My pulse was between 63 and 65 (I tried it more than once). That was my resting pulse rate. She thought that was pretty low. We checked my dad's and his was around 75. I'm 49. I go to the gym 3 times a week. My Dad is 79 and has arthritis and doesn't walk much. No matter what diet I try I can't loose weight. I thought after 7 months at the gym I would be loosing weight. After seeing my pulse I remembered about the blood pressure medicine I'm on. I take 50 miliigrams of Atenolol and 20 milligrams of Enalapril every day. Atenolol I remember reading, is a beta blocker and it slows your heart rate down. Is it possible the Atenolol is why my heart rate is so low and actually keeping me from loosing weight? Your feed back is much appreciated!	['Arthritis', 'Atenolol', 'Enalapril', 'Reading (activity)', 'Adrenergic beta-Antagonists']	['Hypotension', 'Gammagard', 'Weight Gain']	['Syncope', 'Hypotension']
18	High doses of vasopressor medications	How long can a person be on High doses of vasopressor medications?	['Vasoconstrictor Agents']	['Hypotension', 'Vasoconstrictor Agents', 'Sympathomimetics']	['Syncope', 'Dizziness', 'Hypotension']
19	Low blood pressure while exercising	I am 33 years old and have had strange symptoms, mainly headaches, dizziness and fatigue, I just got all my blood tests back and my blood work looks normal. I was getting an orientation at the YMCA on the circuit. I was only at the 2nd machine when suddenly I felt dizzy. This happens all the time lately, especially if I do more than a lazy workout (lately I can only walk on the treadmill at a slow pace). I guess my face turned extremely red. The personal trainer took my blood pressure. My blood pressure was 95/74 (I accidently posted 85 instead in another section) and the heart rate was 71. She took it again five minutes later and it was 111/83 and heart rate was 79. She stated that I couldn't work out at the Y until I got a doctor's clearance. I guess this shows I could possibly have a heart condition. Even when I walk on the treadmill, I get slightly dizzy and feel like I am going to fall asleep. My resting heart rate used to be at 90, which was pretty high but was normal for me. It is just strange that with exercise, my pulse and blood pressure went down. Anyone hear of such a thing? Very very strange. Anyone else experience this? It's just strange that my resting blood pressure is normal and my heart rate is higher when I am resting as opposed to working out. I just went to the doctor's today and the resting EKG was normal, which doesn't surprise me. He was concerned about my valves. My mom has valve problems (forgot the official name). I will be getting an stress-EKG at a cardiologist in the next few days. In the meantime, I can't exercise or do anything strenuous.	['RESTING HEART RATE', 'Exercise', 'Fatigue', 'Dizziness', 'Headache', 'Electrocardiography', 'psychological orientation']	[]	['Syncope', 'Hypotension']
20	orthostatic hypotension alternates with high blood pressure.	"hi- i was recently diagnosed with autonomic orthostatic hypotension. However, I NOW have HIGH blood pressure (uncomfortably high) about half the time, stomach/digestion problems, and low blood pressure and related sx the rest of the time. My doctor ""gave up"" in me because he said that true autonomic orthostatic hypotension DOES NOT alternate with high blood pressure. I am currently without a doc and don't know what to do! I take clonidine to lower the high blood pressure when it occurs (usually at night and after eating.) On the days I have the low BP and I am passing out, of course I don't take it. The low BP/fainting started first - tilt table test proved I had AOH - but these new sx are killing me - literally. I feel as if I am going to have a heart attack when my pulse gets so high (130) and then suddenly plummets to 35. (I have an EMS and medical background so I know how to monitor these sx). Everytime I eat, I get SO nauseated and incredibly bloated. PLEASE HELP!! Thanks."	['Hypotension', 'Hypotension, Orthostatic', 'Myocardial Infarction', 'Clonidine', 'Hypertensive disease', 'Tilt-Table Test', 'Does not']	['Duraclon', 'Hypotension', 'Hypertensive disease', 'rivastigmine', 'Hypotension, Orthostatic']	['Hypertensive disease', 'Vasovagal syncope', 'Syncope', 'Hypotension, Orthostatic', 'Dizziness', 'Hypotension', 'Tilt-Table Test']
21	Vaso Vagal Syncope	Hello Ive got Vaso Vagal Syncope.. Ive had it for several years and have been well prodded and diagnosed. However ive never found anything thats even remotely improved my situation. In the past ive worked as a fitness instructor and i was ok, but recently it has become so bad that im struggling to even exercise a bit, Which for me is very alien, I can (or should i say could) spend hours in the gym and love it and be somewhat unaffected, I just wondered if anyone else has this problem? Im hoping ill return to my normal ways and have days where i feel ok to do exercise and things but at the moment i dont see a light at the end of the tunnel.. Its even affecting my job which is simply a typist job sitting down. So if you can help respond... Sasha x	['Sitting position', 'Exercise', 'Syncope', 'Hope (emotion)']	['Syncope', 'Hypotension', 'Gammagard']	['Sitting position', 'Syncope', 'Dizziness', 'Hypotension']
22	No Diagnosis After 5 Years	My 24 year old daughter has these symptoms. Constantly dizzy, faints 4 -6 times daily. During this time it could last 1min. to 1 hour, at this time she does not respond to pain stimulus, or anything. She cannot hold food,water, meds down. Thus she will become dehydrated. She was on a feeding tube for a while but this had to be removed. She is very tall but weighs very little at this point. Because of fast weight loss and other factors she now has a pacemaker. We have been to numerous Hospitals and Doctors all over the United States. She has yet to be diagnosed. This is her 5th year of being ill. She had to drop out of school and cannot drive she cannot hold a job. She can walk to her mail box only because she knows her neighbors and if they see her on the ground they know she will wake up and will wait by her for her safety. If anyone has heard of these symptons please let me know.	['Artificial cardiac pacemaker', 'Feeding tube', 'Pain', 'Water']	['Finding', 'Hypotension', 'No diagnosis']	['Syncope', 'Water', 'Hereditary bundle branch system defect', 'Artificial cardiac pacemaker', 'Dizziness', 'Hypotension', 'Pain']
23	Taking extra doxazosin for blood pressure of 190/99	Normally I take one each of Propranolol 160 LA, Bisoprolol/hctz 10/6.25, Doxazosin 4mg tab. With such high blood pressure for at least 24 hours, can I take one extra doxazosin 4mg tab or a half of a tab anyway?	['Propranolol', 'Hypertensive disease']	['Levatol', 'Doxazosin', 'Hypertensive disease']	['amphotericin B liposomal', 'Hypertensive disease', 'Prehypertension', 'Epistaxis', 'Reading (activity)']
24	Lisinopril's side effects freak me out.	"Just got started on 20mg of Lisinopril 1x daily. Ever since, I've been reading story after story of people getting angioedema and some nearly dying because of it. Apparently, it's a ""rare"" side effect of ACE inhibitors, but the more I read, the more doom and gloom sets in. Can anyone here vouch for how sinister this medication can be?"	['SET protein, human', 'Lisinopril', 'Angiotensin-Converting Enzyme Inhibitors', 'Angioedema']	['Vimovo', 'Hypertensive disease', 'Lisinopril']	['Hypertensive disease', 'Lisinopril', 'Angiotensin-Converting Enzyme Inhibitors']
